date,equity
2023-12-12,-2.6635708583514314e-33
2023-12-13,-2.6301535717680592e-33
2023-12-14,-2.6133838967792e-33
2023-12-15,-2.6191491007660752e-33
2023-12-17,-2.6233167335120343e-33
2023-12-18,-2.623956583619899e-33
2023-12-19,-2.6313514681642044e-33
2023-12-20,-2.34186425154693e-33
2023-12-21,-2.335660637635544e-33
2023-12-22,-2.3170497959013955e-33
2023-12-25,-2.3305367300596254e-33
2023-12-26,-2.540385850323039e-33
2023-12-27,-2.4966173285096447e-33
2023-12-28,-2.513874404538758e-33
2023-12-29,-2.7433637834081885e-33
2024-01-01,-2.7500467646101514e-33
2024-01-02,-2.7960514845541206e-33
2024-01-03,-2.8174217527933514e-33
2024-01-04,-2.7559278686271478e-33
2024-01-05,-2.7372805105958796e-33
2024-01-07,-2.7687488788790843e-33
2024-01-08,-2.7449485348615583e-33
2024-01-09,-2.7353058585095853e-33
2024-01-10,-2.7256631821576123e-33
2024-01-11,-2.6420933204405187e-33
2024-01-12,-2.5617376841740794e-33
2024-01-14,-2.5842372623286804e-33
2024-01-15,-2.5970941641313173e-33
2024-01-16,-2.6356648695392007e-33
2024-01-17,-2.495093079550307e-33
2024-01-18,-2.497112330460604e-33
2024-01-19,-2.526987674906483e-33
2024-01-21,-2.5397502389211687e-33
2024-01-22,-2.5357536989222002e-33
2024-01-23,-2.5185960987292313e-33
2024-01-24,-2.546496964002462e-33
2024-01-25,-2.5562112270063634e-33
2024-01-26,-2.6098838851368165e-33
2024-01-28,-2.6008415230133704e-33
2024-01-29,-2.5967026632462198e-33
2024-01-30,-2.62306512683248e-33
2024-01-31,-2.5431465569434945e-33
2024-02-01,-2.5989223494825097e-33
2024-02-02,-3.0054779618749788e-33
2024-02-04,-2.9850093264933098e-33
2024-02-05,-3.219601811451385e-33
2024-02-06,-3.1894086225573775e-33
2024-02-07,-3.207427880311944e-33
2024-02-08,-3.238302560432467e-33
2024-02-09,-3.24275529942293e-33
2024-02-11,-3.2319820260029204e-33
2024-02-12,-3.254478908437367e-33
2024-02-13,-3.417826033696624e-33
2024-02-14,-3.478987131141717e-33
2024-02-15,-3.6166951387062415e-33
2024-02-16,-3.6492680750615215e-33
2024-02-18,-3.6647147124162874e-33
2024-02-19,-3.656991393738905e-33
2024-02-20,-3.6376830970454534e-33
2024-02-21,-3.4705183986113854e-33
2024-02-22,-3.472437830797838e-33
2024-02-23,-3.4588204275398e-33
2024-02-25,-3.462667836246737e-33
2024-02-26,-3.4703425322834254e-33
2024-02-27,-3.477994886268619e-33
2024-02-28,-3.473598694592619e-33
2024-02-29,-3.477606207415371e-33
2024-03-01,-3.491408387651903e-33
2024-03-03,-3.4894696620452505e-33
2024-03-04,-3.469237287029823e-33
2024-03-05,-3.467460760582942e-33
2024-03-06,-3.468457657000578e-33
2024-03-07,-3.477195209236848e-33
2024-03-08,-3.435321213147499e-33
2024-03-10,-3.447180780051346e-33
